ء		 
ء ب د	'-b-d	abide bleib-
ع ث ر	æ-ᵖṯ-r	
ع ث ع ث	æ-ᵖṯ-æ-ᵖṯ	
ع ث ق	æ-ᵖṯ-q	
ع ث ك ل	æ-ᵖṯ-k-ł	
ع ث ل	æ-ᵖṯ-ł	
ع ث ل ب	æ-ᵖṯ-ł-b	
ع ث م	æ-ᵖṯ-m	
ع ث ن	æ-ᵖṯ-n	
ع ج ب	æ-ʒ-b	
ع ج ج	æ-ʒ-ʒ	
ع ج ر	æ-ʒ-r	
ع ج ر ف	æ-ʒ-r-ph	
ع ج ز	æ-ʒ-z	
ع ج س	æ-ʒ-s	
ع ج ع ج	æ-ʒ-æ-ʒ	
ع ج ف	æ-ʒ-ph	
ع ج ل	æ-ʒ-ł	
ع ج م	æ-ʒ-m	
ع ج ن	æ-ʒ-n	
ع ج ه	æ-ʒ-ι	
ع ج و	æ-ʒ-ov	
ع د د	æ-d-d	
ع د ر	æ-d-r	
ع د س	æ-d-s	
ع د ف	æ-d-ph	
ع د ق	æ-d-q	
ع د ل	æ-d-ł	
ع د م	æ-d-m	
ع د ن	æ-d-n	
ع د و	æ-d-ov	
ع ذ ب	æ-dh-b	
ع ذ ج	æ-dh-ʒ	
ع ذ ر	æ-dh-r	
ع ذ ف	æ-dh-ph	
ع ذ ف ر	æ-dh-ph-r	
ع ذ ق	æ-dh-q	
ع ذ ل	æ-dh-ł	
ع ذ ل ج	æ-dh-ł-ʒ	
ع ذ ل ق	æ-dh-ł-q	
ع ذ م	æ-dh-m	
ع ذ و	æ-dh-ov	
ع ر ب	æ-r-b	
ع ر ب د	æ-r-b-d	
ع ر ب س	æ-r-b-s	
ع ر ب ش	æ-r-b-š	
ع ر ت	æ-r-ᵇt	
ع ر ت ن	æ-r-ᵇt-n	
ع ر ث	æ-r-ᵖṯ	
ع ر ج	æ-r-ʒ	
ع ر د	æ-r-d	
ع ر ر	æ-r-r	
ع ر ز	æ-r-z	
ع ر س	æ-r-s	
ع ر ش	æ-r-š	
ع ر ص	æ-r-s	
ع ر ض	æ-r-ᵇḍ	
ع ر ع ر	æ-r-æ-r	
ع ر ف	æ-r-ph	
ع ر ق	æ-r-q	
ع ر ق ب	æ-r-q-b	
ع ر ق د	æ-r-q-d	
ع ر ق ص	æ-r-q-s	
ع ر ق ل	æ-r-q-ł	
ع ر ق ي	æ-r-q-y	
ع ر ك	æ-r-k	
ع ر ك س	æ-r-k-s	
ع ر م	æ-r-m	
ع ر ن	æ-r-n	
ع ر و	æ-r-ov	
ع ر ي	æ-r-y	
ع ز ب	æ-z-b	
ع ز ز	æ-z-z	
ع ز ف	æ-z-ph	
ع ز ق	æ-z-q	
ع ز ل	æ-z-ł	
ع ز م	æ-z-m	
ع ز ن	æ-z-n	
ع ز و	æ-z-ov	
ع ز ي	æ-z-y	
ع س ب	æ-s-b	
ع س ب ل	æ-s-b-ł	
ع س ج	æ-s-ʒ	
ع س ج ر	æ-s-ʒ-r	
ع س د	æ-s-d	
ع س ر	æ-s-r	
ع س س	æ-s-s	
ع س ف	æ-s-ph	
ع س ق	æ-s-q	
ع س ق ل	æ-s-q-ł	
ع س ل	æ-s-ł	
ع س ل ط	æ-s-ł-th	
ع س م	æ-s-m	
ع س م ط	æ-s-m-th	
ع س ن	æ-s-n	
ع ش د	æ-š-d	
ع ش ر	æ-š-r	
ع ش ر ق	æ-š-r-q	
ع ش ز	æ-š-z	
ع ش ز ن	æ-š-z-n	
ع ش ش	æ-š-š	
ع ش ط	æ-š-th	
ع ش ف	æ-š-ph	
ع ش ق	æ-š-q	
ع ش م	æ-š-m	
ع ش ن	æ-š-n	
ع ص ب	æ-s-b	
ع ص د	æ-s-d	
ع ص ر	æ-s-r	
ع ص ص	æ-s-s	
ع ص ف	æ-s-ph	
ع ص ل	æ-s-ł	
ع ص ل ب	æ-s-ł-b	
ع ص م	æ-s-m	
ع ص ن	æ-s-n	
ع ص و	æ-s-ov	
ع ص و د	æ-s-ov-d	
ع ض د	æ-ᵇḍ-d	
ع ض ر	æ-ᵇḍ-r	
ع ض ض	æ-ᵇḍ-ᵇḍ	
ع ض ل	æ-ᵇḍ-ł	
ع ض ه	æ-ᵇḍ-ι	
ع ض ه ل	æ-ᵇḍ-ι-ł	
ع ض و	æ-ᵇḍ-ov	
ع ط ب	æ-th-b	
ع ط ر	æ-th-r	
ع ط س	æ-th-s	
ع ط ش	æ-th-š	
ع ط ط	æ-th-th	
ع ط ع ط	æ-th-æ-th	
ع ط ف	æ-th-ph	
ع ط ل	æ-th-ł	
ع ط ن	æ-th-n	
ع ط و	æ-th-ov	
ع ط ي	æ-th-y	
ع ظ ب	æ-ᵈẓ-b	
ع ظ ر	æ-ᵈẓ-r	
ع ظ ظ	æ-ᵈẓ-ᵈẓ	
ع ظ ع ظ	æ-ᵈẓ-æ-ᵈẓ	
ع ظ ل	æ-ᵈẓ-ł	
ع ظ م	æ-ᵈẓ-m	
ع ظ و	æ-ᵈẓ-ov	
ع ف ت	æ-ph-ᵇt	
ع ف ج	æ-ph-ʒ	
ع ف ر	æ-ph-r	
ع ف ف	æ-ph-ph	
ع ف ن	æ-ph-n	
ع ف و	æ-ph-ov	
ع ق د	æ-q-d	
ع ق ر	æ-q-r	
ع ق ق	æ-q-q	
ع ق ل	æ-q-ł	
ع ق م	æ-q-m	
ع ك ر	æ-k-r	
ع ك س	æ-k-s	
ع ل د	æ-ł-d	
ع ل ك	æ-ł-k	
ع ل ل	æ-ł-ł	
ع ل م	æ-ł-m	
ع ل ن	æ-ł-n	
ع م د	æ-m-d	
ع م ر	æ-m-r	
ع م ل	æ-m-ł	
ع ن ب	æ-n-b	
ع ن د	æ-n-d	
ع ن ف	æ-n-ph	
ع ن ي	æ-n-y	
ع ه د	æ-ι-d	
ع ه ر	æ-ι-r	
ع و د	æ-ov-d	
ع و ذ	æ-ov-dh	
ع و ر	æ-ov-r	
ع و ض	æ-ov-ᵇḍ	
ع و ق	æ-ov-q	
ع و ن	æ-ov-n	
ع ي ر	æ-y-r	
ع ي ن	æ-y-n	
ع ي ي	æ-y-y	
	
غ	ḡʳ
	
غ ب ب	ḡʳ-b-b	
غ ب ر	ḡʳ-b-r	
غ د و	ḡʳ-d-ov	
غ ر ب	ḡʳ-r-b	
غ ر د	ḡʳ-r-d	
غ ر ض	ḡʳ-r-ᵇḍ	
غ ر ف	ḡʳ-r-ph	
غ ر ق	ḡʳ-r-q	
غ ر و	ḡʳ-r-ov	
غ ز ل	ḡʳ-z-ł	
غ ز و	ḡʳ-z-ov	
غ س ل	ḡʳ-s-ł	
غ ص ب	ḡʳ-s-b	
غ ض ض	ḡʳ-ᵇḍ-ᵇḍ	
غ ط ر س	ḡʳ-th-r-s	
غ ف ر	ḡʳ-ph-r	
غ ل ب	ḡʳ-ł-b	
غ ل س	ḡʳ-ł-s	
غ ل ف	ḡʳ-ł-ph	
غ ل ق	ḡʳ-ł-q	
غ ل ل	ḡʳ-ł-ł	
غ م م	ḡʳ-m-m	
غ ن م	ḡʳ-n-m	
غ ه ب	ḡʳ-ι-b	
غ و ر	ḡʳ-ov-r	
غ ي ب	ḡʳ-y-b	
غ ي ر	ḡʳ-y-r	
غ ي ظ	ḡʳ-y-ᵈẓ	
غ ي ف	ḡʳ-y-ph	
	
ف	ph
ف ت ت	ph-ᵇt-ᵇt	
ف ت ح	ph-ᵇt-h	
ف ت ل	ph-ᵇt-ł	
ف ج ء	ph-ʒ-ʾ	
ف ح ش	ph-h-š	
ف خ ر	ph-ḵ-r	
ف د ح	ph-d-h	
ف ر ث	ph-r-ᵖṯ	
ف ر ح	ph-r-h	
ف ر ر	ph-r-r	
ف ر س	ph-r-s	
ف ر ص	ph-r-s	
ف ر ض	ph-r-ᵇḍ	
ف ر ط	ph-r-th	
ف ر ع	ph-r-æ	
ف ر غ	ph-r-ḡʳ	
ف ز ز	ph-z-z	
ف ز ع	ph-z-æ	
ف س ق	ph-s-q	
ف س ل	ph-s-ł	
ف ش غ	ph-š-ḡʳ	
ف ش ل	ph-š-ł	
ف ش و	ph-š-ov	
ف ص ل	ph-s-ł	
ف ص م	ph-s-m	
ف ض ح	ph-ᵇḍ-h	
ف ض ض	ph-ᵇḍ-ᵇḍ	
ف ض ل	ph-ᵇḍ-ł	
ف ط س	ph-th-s	
ف ع ل	ph-æ-ł	
ف	ph
	
ف ق د	ph-q-d	
ف ق ر	ph-q-r	
ف ق ع	ph-q-æ	
ف ق م	ph-q-m	
ف ك ر	ph-k-r	
ف ك ه	ph-k-ι	
ف ل ق	ph-ł-q	
ف ل ل	ph-ł-ł	
ف ل و	ph-ł-ov	
ف ه م	ph-ι-m	
ف و ت	ph-ov-ᵇt	
ف و ح	ph-ov-h	
ف و ر	ph-ov-r	
ف و ز	ph-ov-z	
ف و ض	ph-ov-ᵇḍ	
ف و ف	ph-ov-ph	
ف و ق	ph-ov-q	
ف ي ء	ph-y-ʾ	
ف ي ض	ph-y-ᵇḍ	
	
ق	q
ق ب ح	q-b-h	
ق ب ر	q-b-r	
ق ب س	q-b-s	
ق ب ص	q-b-s	
ق ب ض	q-b-ᵇḍ	
ق ب ط	q-b-th	
ق ب ع	q-b-æ	
ق ب ق ب	q-b-q-b	
ق ب ل	q-b-ł	
ق ب ن	q-b-n	
ق ب و	q-b-ov	
ق ت ب	q-ᵇt-b	
ق ت د	q-ᵇt-d	
ق ت ر	q-ᵇt-r	
ق ت ع	q-ᵇt-æ	
ق ت ل	q-ᵇt-ł	
ق ت م	q-ᵇt-m	
ق ت ن	q-ᵇt-n	
ق ث ث	q-ᵖṯ-ᵖṯ	
ق ث ق ث	q-ᵖṯ-q-ᵖṯ	
ق ث م	q-ᵖṯ-m	
ق ث و	q-ᵖṯ-ov	
ق ح ب	q-h-b	
ق ح ث	q-h-ᵖṯ	
ق ح ث ر	q-h-ᵖṯ-r	
ق ح ح	q-h-h	
ق ح د	q-h-d	
ق ح ز	q-h-z	
ق ح ز ل	q-h-z-ł	
ق ح ز ن	q-h-z-n	
ق ح ش	q-h-š	
ق ح ص	q-h-s	
ق ح ط	q-h-th	
ق ح ط ب	q-h-th-b	
ق ح ف	q-h-ph	
ق ح ق ح	q-h-q-h	
ق ح ل	q-h-ł	
ق ح م	q-h-m	
ق ح و	q-h-ov	
ق د ح	q-d-h	
ق د د	q-d-d	
ق د ر	q-d-r	
ق د س	q-d-s	
ق د ع	q-d-æ	
ق د ف	q-d-ph	
ق د م	q-d-m	
ق د و	q-d-ov	
ق د ي	q-d-y	
ق ذ ذ	q-dh-dh	
ق ذ ر	q-dh-r	
ق ذ ع	q-dh-æ	
ق ذ ف	q-dh-ph	
ق ذ ق ذ	q-dh-q-dh	
ق ذ ي	q-dh-y	
ق ر ء	q-r-ʾ	
ق ر ب	q-r-b	
ق ر ح	q-r-h	
ق ر د	q-r-d	
ق ر د ح	q-r-d-h	
ق ر د س	q-r-d-s	
ق ر ر	q-r-r	
ق ر ز	q-r-z	
ق ر ز ل	q-r-z-ł	
ق ر ز م	q-r-z-m	
ق ر س	q-r-s	
ق ر ش	q-r-š	
ق ر ش ح	q-r-š-h	
ق ر ص	q-r-s	
ق ر ص ب	q-r-s-b	
ق ر ص م	q-r-s-m	
ق ر ص ن	q-r-s-n	
ق ر ض	q-r-ᵇḍ	
ق ر و	q-r-ov	
ق ر ي	q-r-y	
ق ز ح	q-z-h	
ق ز ع	q-z-æ	
ق س ط	q-s-th	
ق س و	q-s-ov	
ق ش ط	q-š-th	
ق ص د	q-s-d	
ق ص ر	q-s-r	
ق ص ص	q-s-s	
ق ض ب	q-ᵇḍ-b	
ق ض ي	q-ᵇḍ-y	
ق ط ب	q-th-b	
ق ط ر	q-th-r	
ق ط ع	q-th-æ	
ق ط ف	q-th-ph	
ق ع د	q-æ-d	
ق ع ر	q-æ-r	
ق ف ر	q-ph-r	
ق ف ف	q-ph-ph	
ق ف و	q-ph-ov	
ق ل ب	q-ł-b	
ق ل د	q-ł-d	
ق ل ع	q-ł-æ	
ق ل و	q-ł-ov	
ق ل ي	q-ł-y	
ق م ع	q-m-æ	
ق م م	q-m-m	
ق م ن	q-m-n	
ق ن ط ر	q-n-th-r	
ق و د	q-ov-d	
ق و ف	q-ov-ph	
ق و ل	q-ov-ł	
ق و م	q-ov-m	
ق و ي	q-ov-y	
ق ي ء	q-y-ʾ	
ق ي د	q-y-d	
	
ك	k
ك ب ب	k-b-b	
ك ب ر	k-b-r	
ك ت ب	k-ᵇt-b	
ك ت ل	k-ᵇt-ł	
ك ت م	k-ᵇt-m	
ك ث ر	k-ᵖṯ-r	
ك ث ف	k-ᵖṯ-ph	
ك ح ل	k-h-ł	
ك ذ ب	k-dh-b	
ك ر ب	k-r-b	
ك ر ث	k-r-ᵖṯ	
ك ر ر	k-r-r	
ك ر س	k-r-s	
ك ر م	k-r-m	
ك ر ه	k-r-ι	
ك ر ي	k-r-y	
ك س ح	k-s-h	
ك س د	k-s-d	
ك س ر	k-s-r	
ك س ل	k-s-ł	
ك ش ط	k-š-th	
ك ش ف	k-š-ph	
ك ف ت	k-ph-ᵇt	
ك ف ر	k-ph-r	
ك ف ل	k-ph-ł	
ك ل ف	k-ł-ph	
ك ل م	k-ł-m	
ك م ش	k-m-š	
ك م ل	k-m-ł	
ك م ن	k-m-n	
ك ن ز	k-n-z	
ك ن س	k-n-s	
ك ه ل	k-ι-ł	
ك ه ن	k-ι-n	
ك و ت	k-ov-ᵇt	
ك و س	k-ov-s	
ك و ن	k-ov-n	
ك و ي	k-ov-y	
ك ي س	k-y-s	
ك ي ل	k-y-ł	
	
ل ء ل ء	ł-ʾ-ł-ʾ	
ل ب ب	ł-b-b	
ل ب س	ł-b-s	
ل ب ن	ł-b-n	
ل ج ء	ł-ʒ-ʾ	
ل ح د	ł-h-d	
ل ح ظ	ł-h-ᵈẓ	
ل ح ق	ł-h-q	
ل ح ن	ł-h-n	
ل ح ي	ł-h-y	
ل ز م	ł-z-m	
ل ط خ	ł-th-ḵ	
ل ط س	ł-th-s	
ل ط ش	ł-th-š	
ل ط ف	ł-th-ph	
ل ظ و	ł-ᵈẓ-ov	
ل ظ ي	ł-ᵈẓ-y	
ل ف ف	ł-ph-ph	
ل ق ف	ł-q-ph	
ل ق ن	ł-q-n	
ل ق ي	ł-q-y	
ل م ز	ł-m-z	
ل م س	ł-m-s	
ل م م	ł-m-m	
ل ه ب	ł-ι-b	
ل ه م	ł-ι-m	
ل ه و	ł-ι-ov	
ل و ث	ł-ov-ᵖṯ	
	
م	m
م ت ن	m-ᵇt-n	
م ث ل	m-ᵖṯ-ł	
م ح ق	m-h-q	
م ح ل	m-h-ł	
م ح ن	m-h-n	
م د ح	m-d-h	
م د ن	m-d-n	
م ذ ي	m-dh-y	
م ر ج ح	m-r-ʒ-h	
م ر ح	m-r-h	
م ر خ	m-r-ḵ	
م ر ر	m-r-r	
م ر س	m-r-s	
م ر ض	m-r-ᵇḍ	
م ر ق	m-r-q	
م ر ق ع	m-r-q-æ	
م ز ح	m-z-h	
م س ح	m-s-h	
م س ك	m-s-k	
م ش ي	m-š-y	
م ض غ	m-ᵇḍ-ḡʳ	
م ط ر	m-th-r	
م غ د	m-ḡʳ-d	
م غ ر	m-ḡʳ-r	
م ق ر	m-q-r	
م ق ل	m-q-ł	
م ك ر	m-k-r	
م ك ن	m-k-n	
م ل ك	m-ł-k	
م ل ل	m-ł-ł	
م و ت	m-ov-ᵇt	
م و ر	m-ov-r	
م و ل	m-ov-ł	
م ي د	m-y-d	
م ي س	m-y-s	
م ي ع	m-y-æ	
م ي ل	m-y-ł	
	
ن	n
ن ب ء	n-b-ʾ	
ن ب ت	n-b-ᵇt	
ن ب ح	n-b-h	
ن ب خ	n-b-ḵ	
ن ب ذ	n-b-dh	
ن ب ر	n-b-r	
ن ب ز	n-b-z	
ن ب ش	n-b-š	
ن ب ض	n-b-ᵇḍ	
ن ت ن	n-ᵇt-n	
ن ث ر	n-ᵖṯ-r	
ن ج ب	n-ʒ-b	
ن ج د	n-ʒ-d	
ن ج ر	n-ʒ-r	
ن ج س	n-ʒ-s	
ن ج ل	n-ʒ-ł	
ن ح ر	n-h-r	
ن ح س	n-h-s	
ن ح ل	n-h-ł	
ن خ ب	n-ḵ-b	
ن خ ز	n-ḵ-z	
ن خ س	n-ḵ-s	
ن خ ع	n-ḵ-æ	
ن خ ل	n-ḵ-ł	
ن خ م	n-ḵ-m	
ن خ ي	n-ḵ-y	
ن د ب	n-d-b	
ن د د	n-d-d	
ن د و	n-d-ov	
ن ذ ر	n-dh-r	
ن ذ ل	n-dh-ł	
ن ز ر	n-z-r	
ن ز ع	n-z-æ	
ن ز ل	n-z-ł	
ن ز ه	n-z-ι	
ن س ء	n-s-ʾ	
ن س ج	n-s-ʒ	
ن س خ	n-s-ḵ	
ن س ف	n-s-ph	
ن س ق	n-s-q	
ن س ي	n-s-y	
ن ش ء	n-š-ʾ	
ن ش ب	n-š-b	
ن ش ر	n-š-r	
ن ش ق	n-š-q	
ن ش ل	n-š-ł	
ن ص ح	n-s-h	
ن ص و	n-s-ov	
ن ض ب	n-ᵇḍ-b	
ن ض ج	n-ᵇḍ-ʒ	
ن ض ح	n-ᵇḍ-h	
ن ض خ	n-ᵇḍ-ḵ	
ن ض ر	n-ᵇḍ-r	
ن ض ض	n-ᵇḍ-ᵇḍ	
ن ض و	n-ᵇḍ-ov	
ن ط ق	n-th-q	
ن ظ ر	n-ᵈẓ-r	
ن ظ م	n-ᵈẓ-m	
ن ع س	n-æ-s	
ن ع ظ	n-æ-ᵈẓ	
ن غ ص	n-ḡʳ-s	
ن ف ذ	n-ph-dh	
ن ف ش	n-ph-š	
ن ف ق	n-ph-q	
ن ف ل	n-ph-ł	
ن ف ي	n-ph-y	
ن ق ب	n-q-b	
ن ق د	n-q-d	
ن ق ر	n-q-r	
ن ق ش	n-q-š	
ن ق ص	n-q-s	
ن ق ض	n-q-ᵇḍ	
ن ق ع	n-q-æ	
ن ق ل	n-q-ł	
ن ك ح	n-k-h	
ن ك ر	n-k-r	
ن ك ف	n-k-ph	
ن ك ه	n-k-ι	
ن م ق	n-m-q	
ن م م	n-m-m	
ن م و	n-m-ov	
ن م ي	n-m-y	
ن ه ب	n-ι-b	
ن ه ض	n-ι-ᵇḍ	
ن ه ق	n-ι-q	
ن ه ي	n-ι-y	
ن و ر	n-ov-r	
ن و ص	n-ov-s	
ن و ط	n-ov-th	
ن و ع	n-ov-æ	
ن و ف	n-ov-ph	
ن و ل	n-ov-ł	
ن و م	n-ov-m	
ن و ي	n-ov-y	
ن ي ء	n-y-ʾ	
ن ي ك	n-y-k	
	
ه	ι
ه ب ب	ι-b-b	
ه ج د	ι-ʒ-d	
ه ج م	ι-ʒ-m	
ه ج ن	ι-ʒ-n	
ه ج و	ι-ʒ-ov	
ه د ب	ι-d-b	
ه د ر	ι-d-r	
ه د ف	ι-d-ph	
ه د م	ι-d-m	
ه د ي	ι-d-y	
ه ذ ر	ι-dh-r	
ه ذ ي	ι-dh-y	
ه ر ج	ι-r-ʒ	
ه ر س	ι-r-s	
ه ر ش	ι-r-š	
ه ر م	ι-r-m	
ه ر و	ι-r-ov	
ه ز ز	ι-z-z	
ه ز م	ι-z-m	
ه ش م	ι-š-m	
ه ص ر	ι-s-r	
ه ض ب	ι-ᵇḍ-b	
ه ض م	ι-ᵇḍ-m	
ه م ز	ι-m-z	
ه ن ء	ι-n-ʾ	
ه ن د س	ι-n-d-s	
ه و س	ι-ov-s	
ه و ل	ι-ov-ł	
ه و ن	ι-ov-n	
ه و ي	ι-ov-y	
ه ي ء	ι-y-ʾ	
ه ي ب	ι-y-b	
ه ي ج	ι-y-ʒ	
ه ي ف	ι-y-ph	
ه ي ل	ι-y-ł	
ه ي م	ι-y-m	
	
و	ov
و ب ل	ov-b-ł	
و ت د	ov-ᵇt-d	
و ث ر	ov-ᵖṯ-r	
و ث ق	ov-ᵖṯ-q	
و ج ب	ov-ʒ-b	
و ج د	ov-ʒ-d	
و ج ر	ov-ʒ-r	
و ج ز	ov-ʒ-z	
و ج س	ov-ʒ-s	
و ج ع	ov-ʒ-æ	
و ج ف	ov-ʒ-ph	
و ج ل	ov-ʒ-ł	
و ح د	ov-h-d	
و ح ل	ov-h-ł	
و ح ي	ov-h-y	
و خ م	ov-ḵ-m	
و د د	ov-d-d	
و د ع	ov-d-æ	
و د ي	ov-d-y	
و ر ث	ov-r-ᵖṯ	
و ر د	ov-r-d	
و ر ط	ov-r-th	
و ز ن	ov-z-n	
و س ع	ov-s-æ	
و ش ق	ov-š-q	
و ش م	ov-š-m	
و ش ي	ov-š-y	
و ص د	ov-s-d	
و ص ل	ov-s-ł	
و ص ي	ov-s-y	
و ض ء	ov-ᵇḍ-ʾ	
و ض ح	ov-ᵇḍ-h	
و ض ع	ov-ᵇḍ-æ	
و ط ء	ov-th-ʾ	
و ط ن	ov-th-n	
و ع د	ov-æ-d	
و ع ي	ov-æ-y	
و غ ر	ov-ḡʳ-r	
و ف ق	ov-ph-q	
و ف ي	ov-ph-y	
و ق ف	ov-q-ph	
و ك ل	ov-k-ł	
و ل د	ov-ł-d	
و ل ع	ov-ł-æ	
و ل ي	ov-ł-y	
و ه م	ov-ι-m	
	
ي	y
	
ي ء س	y-ʾ-s	
ي ت م	y-ᵇt-m	
ي س ر	y-s-r	
ي ق ظ	y-q-ᵈẓ	
